CODLOC,NOMLOC,NOMALTER,codigo_provincia_id
60366,"Alfredo Demarchi","Est. Facundo Quiroga, Fac. Quiroga",6
60368,"María Ignacia","Est. Vela",6
60370,"Juan Couste","Est. Algarrobo, Algarrobo",6
60372,"De la Garma",NULL,6
60374,"Mones Cazón",NULL,6
60376,Pirovano,NULL,6
60378,"Villa General Arias"," Est. Kilómetro 638",6
60380,Rawson,NULL,6
60382,Baigorrita,NULL,6
60384,"Open Door","Est. Domingo Cabred",6
60386,"Arroyo Dulce",NULL,6
60388,Ferré,NULL,6
60390,"Santa María",NULL,6
60392,"Las Toninas",NULL,6
60394,Maza,NULL,6
60396,"Barrio San Esteban-Los Pozos",NULL,6
60398,"El Triunfo",NULL,6
60400,Acevedo,NULL,6
60402,Hinojo,NULL,6
60406,"González Moreno",NULL,6
60408,"Hilario Ascasubi",NULL,6
60410,"Laguna Alsina","Bonifacio; Est. Bonifacio",6
60412,Jeppener,NULL,6
60414,Pila,NULL,6
60416,Mechongué,NULL,6
60418,Salazar,"Est. Francisco Madero, Francisco Madero",6
60420,Barker,NULL,6
60422,Germania,"Est. Mayor José Orellano",6
60424,"Estación Chapadmalal",NULL,6
60426,O'Higgins,NULL,6
60428,"General Mansilla","Estación Bartolomé Bavio;  Bartolomé Bavio",6
60430,Piedritas,NULL,6
60432,"Fernando Martí","Charlone; Est.Charlone",6
60434,"Tomás Keating","Castilla; Estación Castilla",6
60436,"Emilio V. Bunge",NULL,6
60438,Torres,"Est. Torres",6
60440,"Sierra Chica",NULL,6
60442,"Santa Trinidad","Colonia Santa Trinidad",6
60444,Chapadmalal,NULL,6
60446,Pedernales,NULL,6
60448,"Villa Angélica","Est. El Socorro, El Socorro, Socorro",6
60450,Saldungaray,NULL,6
60452,"San Manuel",NULL,6
60454,Banderaló,NULL,6
60456,Copetonas,NULL,6
60458,"Sierra de la Ventana",NULL,6
60460,"Villa Arcadia",NULL,6
60462,"Del Carril",NULL,6
60464,Olivera,NULL,6
60466,"Indio Rico",NULL,6
60468,Arenaza,NULL,6
60470,Morse,NULL,6
60472,"General Lavalle",NULL,6
60474,Domselaar,NULL,6
